No,store_name,store_address,store_address_fix1,store_address_fix2,store_address_final,address2,경도,위도
1,역삼아레나빌딩  ,서울특별시 강남구 언주로 425 (역삼동)02-568-3762,서울특별시 강남구 언주로 425 ,서울특별시 강남구 언주로 425 ,서울특별시 강남구 언주로 425 ,서울특별시강남구언주로425,127.04305965024,37.5011199712345
2,논현역사거리  ,서울특별시 강남구 강남대로 538 (논현동)02-3442-3672,서울특별시 강남구 강남대로 538 ,서울특별시 강남구 강남대로 538 ,서울특별시 강남구 강남대로 538 ,서울특별시강남구강남대로538,127.02226956024,37.5102214751899
3,국기원사거리  ,서울특별시 강남구 테헤란로 125 (역삼동)02-568-3668,서울특별시 강남구 테헤란로 125 ,서울특별시 강남구 테헤란로 125 ,서울특별시 강남구 테헤란로 125 ,서울특별시강남구테헤란로125,127.031674970809,37.4996005818437
4,대치대원빌딩R  ,서울특별시 강남구 남부순환로 2947 (대치동)02-568-3704,서울특별시 강남구 남부순환로 2947 ,서울특별시 강남구 남부순환로 2947 ,서울특별시 강남구 남부순환로 2947 ,서울특별시강남구남부순환로2947,127.062661112726,37.494573676093
5,삼성역섬유센터R  ,서울특별시 강남구 테헤란로 518 (대치동)02-568-3648,서울특별시 강남구 테헤란로 518 ,서울특별시 강남구 테헤란로 518 ,서울특별시 강남구 테헤란로 518 ,서울특별시강남구테헤란로518,127.06057896731,37.5075905955687
6,압구정R  ,서울특별시 강남구 언주로 861 (신사동)02-541-3622,서울특별시 강남구 언주로 861 ,서울특별시 강남구 언주로 861 ,서울특별시 강남구 언주로 861 ,서울특별시강남구언주로861,127.033114677375,37.5274018709229
7,수서역R  ,서울특별시 강남구 광평로 281 (수서동)02-6181-3688,서울특별시 강남구 광평로 281 ,서울특별시 강남구 광평로 281 ,서울특별시 강남구 광평로 281 ,서울특별시강남구광평로281,127.103068495839,37.4881162173978
8,양재강남빌딩R  ,서울특별시 강남구 남부순환로 2621 (도곡동)02-571-3604,서울특별시 강남구 남부순환로 2621 ,서울특별시 강남구 남부순환로 2621 ,서울특별시 강남구 남부순환로 2621 ,서울특별시강남구남부순환로2621,127.036621970097,37.4852546636644
9,선릉동신빌딩R  ,서울특별시 강남구 테헤란로 409 (삼성동)02-2051-3562,서울특별시 강남구 테헤란로 409 ,서울특별시 강남구 테헤란로 409 ,서울특별시 강남구 테헤란로 409 ,서울특별시강남구테헤란로409,127.050385922375,37.5053586010574
10,봉은사로선정릉  ,서울특별시 강남구 봉은사로 446 (삼성동)02-539-3564,서울특별시 강남구 봉은사로 446 ,서울특별시 강남구 봉은사로 446 ,서울특별시 강남구 봉은사로 446 ,서울특별시강남구봉은사로446,127.048516134287,37.5113668627847
11,강남오거리  ,서울특별시 강남구 봉은사로2길 39 (역삼동)02-557-3484,서울특별시 강남구 봉은사로2길 39 ,서울특별시 강남구 봉은사로2길 39 ,서울특별시 강남구 봉은사로2길 39 ,서울특별시강남구봉은사로2길39,127.02666566002,37.5021179405551
12,스타필드코엑스몰R  ,서울특별시 강남구 영동대로 513 (삼성동)02-6002-3467,서울특별시 강남구 영동대로 513 ,서울특별시 강남구 영동대로 513 ,서울특별시 강남구 영동대로 513 ,서울특별시강남구영동대로513,127.059158839911,37.5118240312473
13,강남구청정문  ,서울특별시 강남구 학동로 419 (청담동)02-514-3397,서울특별시 강남구 학동로 419 ,서울특별시 강남구 학동로 419 ,서울특별시 강남구 학동로 419 ,서울특별시강남구학동로419,127.045975595074,37.5183044240774
14,도곡공원  ,서울특별시 강남구 도곡로 205 (역삼동)02-565-3496,서울특별시 강남구 도곡로 205 ,서울특별시 강남구 도곡로 205 ,서울특별시 강남구 도곡로 205 ,서울특별시강남구도곡로205,127.041361884242,37.4929155264901
15,강남R  ,서울특별시 강남구 강남대로 390 (역삼동)02-561-3478,서울특별시 강남구 강남대로 390 ,서울특별시 강남구 강남대로 390 ,서울특별시 강남구 강남대로 390 ,서울특별시강남구강남대로390,127.028579111941,37.4978407132235
16,대치은마사거리  ,서울특별시 강남구 도곡로 457 (대치동)02-554-3315,서울특별시 강남구 도곡로 457 ,서울특별시 강남구 도곡로 457 ,서울특별시 강남구 도곡로 457 ,서울특별시강남구도곡로457,127.060176780798,37.4990003170579
17,청담영동대로  ,서울특별시 강남구 영동대로 720 (청담동)02-3443-3371,서울특별시 강남구 영동대로 720 ,서울특별시 강남구 영동대로 720 ,서울특별시 강남구 영동대로 720 ,서울특별시강남구영동대로720,127.056458972086,37.5221840364591
18,압구정  ,서울특별시 강남구 압구정로30길 17 (신사동)02-541-3306,서울특별시 강남구 압구정로30길 17 ,서울특별시 강남구 압구정로30길 17 ,서울특별시 강남구 압구정로30길 17 ,서울특별시강남구압구정로30길17,127.029553559899,37.5263298191376
19,신사가로수  ,서울특별시 강남구 압구정로12길 32 (신사동)02-3446-3356,서울특별시 강남구 압구정로12길 32 ,서울특별시 강남구 압구정로12길 32 ,서울특별시 강남구 압구정로12길 32 ,서울특별시강남구압구정로12길32,127.022525435007,37.5218973240186
20,청담스타R  ,서울특별시 강남구 도산대로57길 24 (청담동)02-514-3364,서울특별시 강남구 도산대로57길 24 ,서울특별시 강남구 도산대로57길 24 ,서울특별시 강남구 도산대로57길 24 ,서울특별시강남구도산대로57길24,127.041835221488,37.525254744408
21,강남우성  ,서울특별시 강남구 강남대로 328 (역삼동)02-565-3347,서울특별시 강남구 강남대로 328 ,서울특별시 강남구 강남대로 328 ,서울특별시 강남구 강남대로 328 ,서울특별시강남구강남대로328,127.030921531238,37.4924283602183
22,학동사거리  ,서울특별시 강남구 도산대로 328 (논현동) HS빌딩02-758-8971,서울특별시 강남구 도산대로 328 ,서울특별시 강남구 도산대로 328 ,서울특별시 강남구 도산대로 328 ,서울특별시강남구도산대로328,127.037969584791,37.5224060939561
23,대치사거리  ,서울특별시 강남구 삼성로 402 (대치동)02-561-3287,서울특별시 강남구 삼성로 402 ,서울특별시 강남구 삼성로 402 ,서울특별시 강남구 삼성로 402 ,서울특별시강남구삼성로402,127.058837305597,37.5033725945463
24,포스코사거리  ,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩02-554-3235,서울특별시 강남구 테헤란로 505 ,서울특별시 강남구 테헤란로 505 ,서울특별시 강남구 테헤란로 505 ,서울특별시강남구테헤란로505,127.057437908767,37.507566520283
25,을지병원사거리  ,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)02-758-8896",서울특별시 강남구 논현로 752 ,서울특별시 강남구 논현로 752 ,서울특별시 강남구 논현로 752 ,서울특별시강남구논현로752,127.028644465618,37.5191604201757
26,신사역  ,서울특별시 강남구 도산대로 108 (논현동) 렉스타워02-758-8848,서울특별시 강남구 도산대로 108 ,서울특별시 강남구 도산대로 108 ,서울특별시 강남구 도산대로 108 ,서울특별시강남구도산대로108,127.020659972179,37.5161988792539
27,도곡역  ,서울특별시 강남구 남부순환로 2909 (대치동)02-758-8809,서울특별시 강남구 남부순환로 2909 ,서울특별시 강남구 남부순환로 2909 ,서울특별시 강남구 남부순환로 2909 ,서울특별시강남구남부순환로2909,127.057410619472,37.4921824620412
28,서울세관사거리  ,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회02-758-8798,서울특별시 강남구 언주로 650 ,서울특별시 강남구 언주로 650 ,서울특별시 강남구 언주로 650 ,서울특별시강남구언주로650,127.035753316846,37.5149194824979
29,청담사거리  ,서울특별시 강남구 도산대로 458 (청담동) 리츠타워02-758-8726,서울특별시 강남구 도산대로 458 ,서울특별시 강남구 도산대로 458 ,서울특별시 강남구 도산대로 458 ,서울특별시강남구도산대로458,127.046873296388,37.5237700894791
30,한티역  ,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)02-758-8683","서울특별시 강남구 도곡로 408, 디마크빌딩 101호 ","서울특별시 강남구 도곡로 408, 디마크빌딩 101호 ","서울특별시 강남구 도곡로 408, 디마크빌딩 101호 ","서울특별시강남구도곡로408,디마크빌딩101호",127.055232859062,37.4966214153821
31,역삼초교사거리  ,서울특별시 강남구 역삼로 123 (역삼동)02-758-8739,서울특별시 강남구 역삼로 123 ,서울특별시 강남구 역삼로 123 ,서울특별시 강남구 역삼로 123 ,서울특별시강남구역삼로123,127.033008501789,37.4941548905821
32,코엑스몰  ,서울특별시 강남구 영동대로 513 (삼성동) 코엑스02-758-8733,서울특별시 강남구 영동대로 513 ,서울특별시 강남구 영동대로 513 ,서울특별시 강남구 영동대로 513 ,서울특별시강남구영동대로513,127.059158839911,37.5118240312473
33,가로수길  ,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)02-758-8661","서울특별시 강남구 논현로175길 94, 1~2층 ","서울특별시 강남구 논현로175길 94, 1~2층 ","서울특별시 강남구 논현로175길 94, 1~2층 ","서울특별시강남구논현로175길94,1~2층",127.021643621957,37.5231973855557
34,역삼대로  ,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)02-758-8626","서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 ","서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 ","서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 ","서울특별시강남구테헤란로211,한국고등교육재단빌딩1층",127.03924225891,37.5018882438749
35,역삼포스코  ,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)02-758-8631","서울특별시 강남구 테헤란로 134, P&S TOWER ","서울특별시 강남구 테헤란로 134, P&S TOWER ","서울특별시 강남구 테헤란로 134, P&S TOWER ","서울특별시강남구테헤란로134,P&STOWER",127.033803281311,37.4993746469648
36,강남대로  ,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)02-758-8624","서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 ","서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 ","서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 ","서울특별시강남구강남대로456,한석타워2층1-2호",127.025570964816,37.503137672253
37,청담  ,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)02-758-8659","서울특별시 강남구 도산대로 532, 인희빌딩 1층 ","서울특별시 강남구 도산대로 532, 인희빌딩 1층 ","서울특별시 강남구 도산대로 532, 인희빌딩 1층 ","서울특별시강남구도산대로532,인희빌딩1층",127.051592564326,37.5243457702543
38,삼성도심공항  ,서울특별시 강남구 테헤란로87길 33 (삼성동)02-758-8635,서울특별시 강남구 테헤란로87길 33 ,서울특별시 강남구 테헤란로87길 33 ,서울특별시 강남구 테헤란로87길 33 ,서울특별시강남구테헤란로87길33,127.057929480593,37.5098285170301
39,삼성교  ,"서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 (대치동)02-758-8592","서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 ","서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 ","서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 ","서울특별시강남구영동대로86길12,,9,10번지동남유화빌딩",127.065188291508,37.5078239786651
40,학동역  ,서울특별시 강남구 논현로 704 (논현동)02-758-8101,서울특별시 강남구 논현로 704 ,서울특별시 강남구 논현로 704 ,서울특별시 강남구 논현로 704 ,서울특별시강남구논현로704,127.030763676263,37.5146045710633
41,대치  ,서울특별시 강남구 도곡로 511 (대치동)02-758-8063,서울특별시 강남구 도곡로 511 ,서울특별시 강남구 도곡로 511 ,서울특별시 강남구 도곡로 511 ,서울특별시강남구도곡로511,127.062239161261,37.4996344227645
42,기술센터  ,"서울특별시 강남구 테헤란로 305, 한국기술센터 1층 (역삼동)02-6009-3410","서울특별시 강남구 테헤란로 305, 한국기술센터 1층 ","서울특별시 강남구 테헤란로 305, 한국기술센터 1층 ","서울특별시 강남구 테헤란로 305, 한국기술센터 1층 ","서울특별시강남구테헤란로305,한국기술센터1층",127.043780821797,37.5033401014297
43,SSG마켓도곡R  ,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)02-2191-1219","서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 ","서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 ","서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 ","서울특별시강남구언주로30길57,타워팰리스ⅡF지하1층",127.054004780506,37.4894735026909
44,삼성  ,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)02-758-8038","서울특별시 강남구 테헤란로 443, 애플트리타워 1층 ","서울특별시 강남구 테헤란로 443, 애플트리타워 1층 ","서울특별시 강남구 테헤란로 443, 애플트리타워 1층 ","서울특별시강남구테헤란로443,애플트리타워1층",127.055597987865,37.5069511954453
45,선릉세화빌딩  ,"서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 (대치동)02-758-8028","서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 ","서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 ","서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 ","서울특별시강남구테헤란로64길18,세화빌딩1층",127.051204318987,37.503783163689
46,압구정역  ,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)02-758-8013","서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 ","서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 ","서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 ","서울특별시강남구압구정로170,관영빌딩1층지하1층",127.02810788608,37.5267600368203
47,압구정로  ,서울특별시 강남구 압구정로42길 32 (신사동)02-758-8231,서울특별시 강남구 압구정로42길 32 ,서울특별시 강남구 압구정로42길 32 ,서울특별시 강남구 압구정로42길 32 ,서울특별시강남구압구정로42길32,127.034734429262,37.526842663047
48,구역삼사거리  ,서울특별시 강남구 논현로 401 (역삼동)02-758-8247,서울특별시 강남구 논현로 401 ,서울특별시 강남구 논현로 401 ,서울특별시 강남구 논현로 401 ,서울특별시강남구논현로401,127.038897811079,37.4959221553065
49,큰길타워  ,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)02-758-8116","서울특별시 강남구 테헤란로 223, 큰길타워빌딩 ","서울특별시 강남구 테헤란로 223, 큰길타워빌딩 ","서울특별시 강남구 테헤란로 223, 큰길타워빌딩 ","서울특별시강남구테헤란로223,큰길타워빌딩",127.040673821591,37.5024020050718
50,강남구청역  ,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)02-758-8119","서울특별시 강남구 선릉로 669, 웰빙센터 1층 ","서울특별시 강남구 선릉로 669, 웰빙센터 1층 ","서울특별시 강남구 선릉로 669, 웰빙센터 1층 ","서울특별시강남구선릉로669,웰빙센터1층",127.041255124594,37.5166062357468
51,대치역  ,"서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 (대치동)02-758-8120","서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 ","서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 ","서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 ","서울특별시강남구남부순환로2936,원플러스상가107호",127.061916677444,37.4933495741106
52,포이  ,서울특별시 강남구 논현로 88 (개포동)02-758-8122,서울특별시 강남구 논현로 88 ,서울특별시 강남구 논현로 88 ,서울특별시 강남구 논현로 88 ,서울특별시강남구논현로88,127.045129262903,37.477813178762
53,아크플레이스  ,서울특별시 강남구 테헤란로 142 (역삼동)02-758-8158,서울특별시 강남구 테헤란로 142 ,서울특별시 강남구 테헤란로 142 ,서울특별시 강남구 테헤란로 142 ,서울특별시강남구테헤란로142,127.034954232615,37.4997442339069
54,학여울역  ,서울특별시 강남구 영동대로 215 (대치동)02-758-8151,서울특별시 강남구 영동대로 215 ,서울특별시 강남구 영동대로 215 ,서울특별시 강남구 영동대로 215 ,서울특별시강남구영동대로215,127.068519702327,37.4979978553003
55,선정릉역  ,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩02-758-8970,서울특별시 강남구 봉은사로 407 ,서울특별시 강남구 봉은사로 407 ,서울특별시 강남구 봉은사로 407 ,서울특별시강남구봉은사로407,127.044572137727,37.5107805314678
56,삼성현대힐  ,서울특별시 강남구 삼성로 605 (삼성동)02-758-8278,서울특별시 강남구 삼성로 605 ,서울특별시 강남구 삼성로 605 ,서울특별시 강남구 삼성로 605 ,서울특별시강남구삼성로605,127.052716963844,37.5134841799457
57,GS타워  ,서울특별시 강남구 논현로 508 (역삼동)02-758-8129,서울특별시 강남구 논현로 508 ,서울특별시 강남구 논현로 508 ,서울특별시 강남구 논현로 508 ,서울특별시강남구논현로508,127.037335949949,37.5019945444214
58,압구정미소  ,서울특별시 강남구 논현로 841 (신사동)02-758-8109,서울특별시 강남구 논현로 841 ,서울특별시 강남구 논현로 841 ,서울특별시 강남구 논현로 841 ,서울특별시강남구논현로841,127.027906315583,37.5240619269677
